EUI,latitude,longitude,month,daytime_hour,temperature,humidity,solar_irradiation,pressure
BE7A00000000313C,45.17667,19.151683,7,18,27.8,29.9,335,100700.0
BE7A00000000313C,45.17667,19.151683,7,18,27.5,30.0,226,100700.0
BE7A00000000313C,45.17667,19.151683,7,18,27.2,30.9,179,100700.0
BE7A00000000313C,45.17667,19.151683,7,19,27.1,30.8,161,100700.0
BE7A00000000313C,45.17667,19.151683,7,19,26.9,31.0,138,100710.0
BE7A00000000313C,45.17667,19.151683,7,19,26.5,31.8,114,100720.0
BE7A00000000313C,45.17667,19.151683,7,19,26.2,32.3,50,100720.0
BE7A00000000313C,45.17667,19.151683,7,19,25.6,33.7,46,100720.0
BE7A00000000313C,45.17667,19.151683,7,19,25.0,35.3,22,100720.0
BE7A00000000313C,45.17667,19.151683,7,20,23.9,38.8,16,100720.0
BE7A00000000313C,45.17667,19.151683,7,20,23.0,41.6,11,100720.0
BE7A00000000313C,45.17667,19.151683,7,21,18.8,54.9,0,100780.0
BE7A00000000313C,45.17667,19.151683,7,22,17.7,59.0,0,100790.0
BE7A00000000313C,45.17667,19.151683,7,22,15.9,67.4,0,100800.0
BE7A00000000313C,45.17667,19.151683,7,23,15.3,69.2,0,100810.0
BE7A00000000313C,45.17667,19.151683,7,23,14.8,72.7,0,100820.0
BE7A00000000313C,45.17667,19.151683,7,23,14.3,75.2,0,100810.0
BE7A00000000313C,45.17667,19.151683,7,23,14.4,73.0,0,100810.0
BE7A00000000313C,45.17667,19.151683,7,23,14.1,75.8,0,100810.0
BE7A00000000313C,45.17667,19.151683,7,0,13.8,77.9,0,100800.0
BE7A00000000313C,45.17667,19.151683,7,0,13.7,78.4,0,100800.0
BE7A00000000313C,45.17667,19.151683,7,0,13.5,79.6,0,100800.0
BE7A00000000313C,45.17667,19.151683,7,0,13.4,79.6,0,100800.0
BE7A00000000313C,45.17667,19.151683,7,0,13.2,81.4,0,100800.0
BE7A00000000313C,45.17667,19.151683,7,1,12.8,83.6,0,100790.0
BE7A00000000313C,45.17667,19.151683,7,1,13.0,83.8,0,100770.0
BE7A00000000313C,45.17667,19.151683,7,1,12.7,85.7,0,100770.0
BE7A00000000313C,45.17667,19.151683,7,1,12.6,86.0,0,100770.0
BE7A00000000313C,45.17667,19.151683,7,2,13.0,85.0,0,100760.0
BE7A00000000313C,45.17667,19.151683,7,2,13.2,87.1,0,100760.0
BE7A00000000313C,45.17667,19.151683,7,2,13.0,87.6,0,100760.0
BE7A00000000313C,45.17667,19.151683,7,3,13.3,88.1,0,100760.0
BE7A00000000313C,45.17667,19.151683,7,3,12.9,88.2,0,100760.0
BE7A00000000313C,45.17667,19.151683,7,3,12.6,88.3,0,100750.0
BE7A00000000313C,45.17667,19.151683,7,4,12.7,88.0,0,100750.0
BE7A00000000313C,45.17667,19.151683,7,4,12.6,88.5,0,100750.0
BE7A00000000313C,45.17667,19.151683,7,4,12.8,87.8,0,100750.0
BE7A00000000313C,45.17667,19.151683,7,4,12.6,88.8,0,100750.0
BE7A00000000313C,45.17667,19.151683,7,4,12.5,89.0,0,100750.0
BE7A00000000313C,45.17667,19.151683,7,4,12.4,89.2,0,100750.0
BE7A00000000313C,45.17667,19.151683,7,5,13.4,88.4,35,100760.0
BE7A00000000313C,45.17667,19.151683,7,6,14.1,88.8,81,100760.0
BE7A00000000313C,45.17667,19.151683,7,6,14.6,89.4,121,100770.0
BE7A00000000313C,45.17667,19.151683,7,6,15.4,85.3,137,100770.0
BE7A00000000313C,45.17667,19.151683,7,6,16.2,82.4,157,100780.0
BE7A00000000313C,45.17667,19.151683,7,7,19.4,67.8,353,100770.0
BE7A00000000313C,45.17667,19.151683,7,8,22.2,59.0,442,100750.0
BE7A00000000313C,45.17667,19.151683,7,8,23.7,54.4,502,100740.0
BE7A00000000313C,45.17667,19.151683,7,8,25.1,49.2,558,100720.0
BE7A00000000313C,45.17667,19.151683,7,9,26.6,45.6,637,100710.0
BE7A00000000313C,45.17667,19.151683,7,9,27.1,46.1,661,100710.0
BE7A00000000313C,45.17667,19.151683,7,9,27.9,43.6,709,100700.0
BE7A00000000313C,45.17667,19.151683,7,10,30.0,37.9,827,100700.0
BE7A00000000313C,45.17667,19.151683,7,11,30.3,35.8,872,100670.0
BE7A00000000313C,45.17667,19.151683,7,11,31.5,31.0,906,100640.0
BE7A00000000313C,45.17667,19.151683,7,12,31.9,29.9,913,100630.0
BE7A00000000313C,45.17667,19.151683,7,12,31.8,29.8,920,100630.0
BE7A00000000313C,45.17667,19.151683,7,12,32.5,28.5,912,100620.0
BE7A00000000313C,45.17667,19.151683,7,13,32.7,26.5,927,100600.0
BE7A00000000313C,45.17667,19.151683,7,13,33.3,26.2,914,100600.0
BE7A00000000313C,45.17667,19.151683,7,13,33.4,25.8,917,100580.0
BE7A00000000313C,45.17667,19.151683,7,13,33.9,26.1,909,100570.0
BE7A00000000313C,45.17667,19.151683,7,13,33.6,25.8,904,100570.0
BE7A00000000313C,45.17667,19.151683,7,14,33.3,25.6,893,100550.0
BE7A00000000313C,45.17667,19.151683,7,14,33.5,25.7,872,100530.0
BE7A00000000313C,45.17667,19.151683,7,15,35.0,23.9,854,100500.0
BE7A00000000313C,45.17667,19.151683,7,15,34.5,23.8,776,100500.0
BE7A00000000313C,45.17667,19.151683,7,15,33.8,25.9,725,100490.0
BE7A00000000313C,45.17667,19.151683,7,15,33.2,26.9,530,100490.0
BE7A00000000313C,45.17667,19.151683,7,15,34.1,25.3,714,100460.0
BE7A00000000313C,45.17667,19.151683,7,16,34.2,24.5,686,100450.0
BE7A00000000313C,45.17667,19.151683,7,16,34.2,24.3,657,100450.0
BE7A00000000313C,45.17667,19.151683,7,16,34.1,24.7,606,100430.0
BE7A00000000313C,45.17667,19.151683,7,16,33.5,24.7,504,100420.0
BE7A00000000313C,45.17667,19.151683,7,17,33.4,24.9,481,100400.0
BE7A00000000313C,45.17667,19.151683,7,17,33.2,25.3,496,100400.0
BE7A00000000313C,45.17667,19.151683,7,17,32.7,26.0,466,100390.0
BE7A00000000313C,45.17667,19.151683,7,17,32.5,26.8,431,100370.0
BE7A00000000313C,45.17667,19.151683,7,17,32.2,26.3,369,100360.0
BE7A00000000313C,45.17667,19.151683,7,18,32.2,27.4,300,100360.0
BE7A00000000313C,45.17667,19.151683,7,19,30.4,30.7,32,100350.0
BE7A00000000313C,45.17667,19.151683,7,19,29.4,35.4,27,100340.0
BE7A00000000313C,45.17667,19.151683,7,19,28.4,39.0,16,100330.0
BE7A00000000313C,45.17667,19.151683,7,19,27.5,40.3,7,100330.0
BE7A00000000313C,45.17667,19.151683,7,20,25.6,45.6,12,100300.0
BE7A00000000313C,45.17667,19.151683,7,20,25.1,47.3,7,100270.0
