EUI,latitude,longitude,month,daytime_hour,temperature,humidity,solar_irradiation
BE7A00000000313C,45.17667,19.151683,7,18,27.8,29.9,335
0004A30B00FFEF62,45.535366,18.744404,7,18,28.8,27.8,322
0004A30B00FFEF62,45.535366,18.744404,7,18,28.8,28.0,296
0004A30B00FFEF62,45.535366,18.744404,7,18,28.6,28.0,266
0004A30B00FFEF62,45.535366,18.744404,7,18,28.4,28.4,236
0004A30B00FF8CB5,45.537149,18.734561,7,18,28.1,27.8,212
BE7A00000000313C,45.17667,19.151683,7,18,27.5,30.0,226
0004A30B00FFEF62,45.535366,18.744404,7,18,28.4,28.6,206
BE7A00000000313C,45.17667,19.151683,7,18,27.2,30.9,179
0004A30B00FFEF62,45.535366,18.744404,7,19,28.2,28.4,180
0004A30B00FF8CB5,45.537149,18.734561,7,19,28.0,28.4,160
BE7A00000000313C,45.17667,19.151683,7,19,27.1,30.8,161
0004A30B00FFEF62,45.535366,18.744404,7,19,28.0,28.8,152
0004A30B00FF8CB5,45.537149,18.734561,7,19,27.8,28.6,136
BE7A00000000313C,45.17667,19.151683,7,19,26.9,31.0,138
0004A30B00FFEF62,45.535366,18.744404,7,19,27.8,29.0,126
0004A30B00FF8CB5,45.537149,18.734561,7,19,27.6,29.4,112
BE7A00000000313C,45.17667,19.151683,7,19,26.5,31.8,114
0004A30B00FFEF62,45.535366,18.744404,7,19,27.5,29.6,102
BE7A00000000313C,45.17667,19.151683,7,19,26.2,32.3,50
0004A30B00FFEF62,45.535366,18.744404,7,19,27.3,29.8,80
BE7A00000000313C,45.17667,19.151683,7,19,25.6,33.7,46
0004A30B00FFEF62,45.535366,18.744404,7,19,26.9,30.8,60
0004A30B00FF8CB5,45.537149,18.734561,7,19,26.7,31.2,52
BE7A00000000313C,45.17667,19.151683,7,19,25.0,35.3,22
0004A30B00FF8CB5,45.537149,18.734561,7,20,26.1,32.4,36
BE7A00000000313C,45.17667,19.151683,7,20,23.9,38.8,16
0004A30B00FFEF62,45.535366,18.744404,7,20,25.4,34.6,26
0004A30B00FF8CB5,45.537149,18.734561,7,20,25.3,35.0,22
BE7A00000000313C,45.17667,19.151683,7,20,23.0,41.6,11
0004A30B00FFEF62,45.535366,18.744404,7,20,24.5,36.8,14
0004A30B00FFEF62,45.535366,18.744404,7,20,23.3,40.4,6
0004A30B00FF8CB5,45.537149,18.734561,7,20,23.3,41.0,2
0004A30B00FFEF62,45.535366,18.744404,7,20,22.1,43.8,2
0004A30B00FF8CB5,45.537149,18.734561,7,20,22.3,44.6,0
0004A30B00FFEF62,45.535366,18.744404,7,20,21.5,45.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,20,21.4,47.8,0
0004A30B00FFEF62,45.535366,18.744404,7,21,21.1,47.0,0
0004A30B00FF8CB5,45.537149,18.734561,7,21,20.6,50.8,0
0004A30B00FFEF62,45.535366,18.744404,7,21,20.9,47.0,0
0004A30B00FF8CB5,45.537149,18.734561,7,21,19.5,54.2,0
0004A30B00FFEF62,45.535366,18.744404,7,21,20.2,50.0,0
0004A30B00FF8CB5,45.537149,18.734561,7,21,19.2,56.0,0
BE7A00000000313C,45.17667,19.151683,7,21,18.8,54.9,0
0004A30B00FFEF62,45.535366,18.744404,7,21,19.4,53.6,0
0004A30B00FF8CB5,45.537149,18.734561,7,21,18.6,58.8,0
0004A30B00FFEF62,45.535366,18.744404,7,21,18.5,57.8,0
0004A30B00FFEF62,45.535366,18.744404,7,22,18.6,56.6,0
BE7A00000000313C,45.17667,19.151683,7,22,17.7,59.0,0
0004A30B00FFEF62,45.535366,18.744404,7,22,18.4,58.0,0
0004A30B00FF8CB5,45.537149,18.734561,7,22,17.8,62.0,0
0004A30B00FFEF62,45.535366,18.744404,7,22,18.4,57.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,22,17.6,62.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,22,17.3,64.6,0
0004A30B00FFEF62,45.535366,18.744404,7,22,17.8,60.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,22,17.0,65.4,0
BE7A00000000313C,45.17667,19.151683,7,22,15.9,67.4,0
0004A30B00FFEF62,45.535366,18.744404,7,22,17.4,62.4,0
0004A30B00FF8CB5,45.537149,18.734561,7,22,17.2,64.6,0
0004A30B00FF8CB5,45.537149,18.734561,7,23,16.9,66.4,0
0004A30B00FFEF62,45.535366,18.744404,7,23,17.5,62.0,0
0004A30B00FF8CB5,45.537149,18.734561,7,23,16.5,67.8,0
BE7A00000000313C,45.17667,19.151683,7,23,15.3,69.2,0
0004A30B00FFEF62,45.535366,18.744404,7,23,17.3,62.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,23,16.3,68.2,0
BE7A00000000313C,45.17667,19.151683,7,23,14.8,72.7,0
0004A30B00FFEF62,45.535366,18.744404,7,23,17.0,64.0,0
BE7A00000000313C,45.17667,19.151683,7,23,14.3,75.2,0
0004A30B00FFEF62,45.535366,18.744404,7,23,16.8,64.6,0
0004A30B00FF8CB5,45.537149,18.734561,7,23,16.0,69.0,0
BE7A00000000313C,45.17667,19.151683,7,23,14.4,73.0,0
0004A30B00FFEF62,45.535366,18.744404,7,23,16.7,65.0,0
BE7A00000000313C,45.17667,19.151683,7,23,14.1,75.8,0
0004A30B00FFEF62,45.535366,18.744404,7,0,16.8,65.4,0
0004A30B00FF8CB5,45.537149,18.734561,7,0,15.6,72.0,0
BE7A00000000313C,45.17667,19.151683,7,0,13.8,77.9,0
0004A30B00FFEF62,45.535366,18.744404,7,0,16.7,65.4,0
0004A30B00FF8CB5,45.537149,18.734561,7,0,15.4,72.2,0
BE7A00000000313C,45.17667,19.151683,7,0,13.7,78.4,0
0004A30B00FFEF62,45.535366,18.744404,7,0,16.2,67.8,0
BE7A00000000313C,45.17667,19.151683,7,0,13.5,79.6,0
0004A30B00FFEF62,45.535366,18.744404,7,0,15.6,70.2,0
BE7A00000000313C,45.17667,19.151683,7,0,13.4,79.6,0
0004A30B00FFEF62,45.535366,18.744404,7,0,15.5,69.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,0,15.1,74.0,0
0004A30B00FFEF62,45.535366,18.744404,7,0,15.0,72.8,0
BE7A00000000313C,45.17667,19.151683,7,0,13.2,81.4,0
0004A30B00FFEF62,45.535366,18.744404,7,1,14.7,74.6,0
0004A30B00FF8CB5,45.537149,18.734561,7,1,14.8,75.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,1,14.6,76.4,0
BE7A00000000313C,45.17667,19.151683,7,1,12.8,83.6,0
0004A30B00FFEF62,45.535366,18.744404,7,1,14.3,77.6,0
0004A30B00FFEF62,45.535366,18.744404,7,1,14.1,79.2,0
BE7A00000000313C,45.17667,19.151683,7,1,13.0,83.8,0
0004A30B00FFEF62,45.535366,18.744404,7,1,14.0,79.2,0
0004A30B00FF8CB5,45.537149,18.734561,7,1,14.5,76.8,0
BE7A00000000313C,45.17667,19.151683,7,1,12.7,85.7,0
0004A30B00FFEF62,45.535366,18.744404,7,1,13.9,80.0,0
BE7A00000000313C,45.17667,19.151683,7,1,12.6,86.0,0
0004A30B00FFEF62,45.535366,18.744404,7,2,13.7,80.4,0
0004A30B00FFEF62,45.535366,18.744404,7,2,13.9,79.8,0
BE7A00000000313C,45.17667,19.151683,7,2,13.0,85.0,0
0004A30B00FFEF62,45.535366,18.744404,7,2,13.7,80.4,0
0004A30B00FF8CB5,45.537149,18.734561,7,2,14.2,78.6,0
0004A30B00FFEF62,45.535366,18.744404,7,2,14.1,80.2,0
0004A30B00FF8CB5,45.537149,18.734561,7,2,14.4,77.2,0
BE7A00000000313C,45.17667,19.151683,7,2,13.2,87.1,0
0004A30B00FFEF62,45.535366,18.744404,7,2,14.3,78.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,2,13.6,82.2,0
BE7A00000000313C,45.17667,19.151683,7,2,13.0,87.6,0
0004A30B00FFEF62,45.535366,18.744404,7,3,13.3,82.4,0
0004A30B00FF8CB5,45.537149,18.734561,7,3,13.3,83.6,0
0004A30B00FFEF62,45.535366,18.744404,7,3,13.1,84.2,0
0004A30B00FF8CB5,45.537149,18.734561,7,3,13.4,83.6,0
0004A30B00FFEF62,45.535366,18.744404,7,3,13.3,83.4,0
0004A30B00FF8CB5,45.537149,18.734561,7,3,13.4,83.0,0
0004A30B00FF8CB5,45.537149,18.734561,7,3,13.2,84.0,0
BE7A00000000313C,45.17667,19.151683,7,3,13.3,88.1,0
0004A30B00FFEF62,45.535366,18.744404,7,3,13.0,83.2,0
BE7A00000000313C,45.17667,19.151683,7,3,12.9,88.2,0
0004A30B00FF8CB5,45.537149,18.734561,7,3,13.3,84.8,0
BE7A00000000313C,45.17667,19.151683,7,3,12.6,88.3,0
0004A30B00FFEF62,45.535366,18.744404,7,4,12.6,86.2,0
BE7A00000000313C,45.17667,19.151683,7,4,12.7,88.0,0
0004A30B00FFEF62,45.535366,18.744404,7,4,12.5,86.8,0
0004A30B00FF8CB5,45.537149,18.734561,7,4,13.3,84.4,0
BE7A00000000313C,45.17667,19.151683,7,4,12.6,88.5,0
0004A30B00FF8CB5,45.537149,18.734561,7,4,13.2,84.4,0
BE7A00000000313C,45.17667,19.151683,7,4,12.8,87.8,0
0004A30B00FFEF62,45.535366,18.744404,7,4,12.6,87.4,0
BE7A00000000313C,45.17667,19.151683,7,4,12.6,88.8,0
0004A30B00FFEF62,45.535366,18.744404,7,4,12.3,88.4,0
0004A30B00FF8CB5,45.537149,18.734561,7,4,12.8,86.0,0
BE7A00000000313C,45.17667,19.151683,7,4,12.5,89.0,0
0004A30B00FF8CB5,45.537149,18.734561,7,4,12.8,86.2,0
BE7A00000000313C,45.17667,19.151683,7,4,12.4,89.2,0
0004A30B00FFEF62,45.535366,18.744404,7,5,12.4,88.6,0
0004A30B00FF8CB5,45.537149,18.734561,7,5,12.6,87.4,0
0004A30B00FFEF62,45.535366,18.744404,7,5,12.5,88.2,2
0004A30B00FF8CB5,45.537149,18.734561,7,5,12.6,87.8,0
0004A30B00FFEF62,45.535366,18.744404,7,5,12.5,88.2,4
0004A30B00FF8CB5,45.537149,18.734561,7,5,12.7,87.4,2
0004A30B00FFEF62,45.535366,18.744404,7,5,12.6,88.2,10
0004A30B00FFEF62,45.535366,18.744404,7,5,12.7,88.6,14
0004A30B00FF8CB5,45.537149,18.734561,7,5,12.8,87.8,18
BE7A00000000313C,45.17667,19.151683,7,5,13.4,88.4,35
0004A30B00FFEF62,45.535366,18.744404,7,6,13.6,87.6,22
