EUI,latitude,longitude,month,daytime_hour,temperature,humidity,solar_irradiation
0004A30B00F9F85C,45.532317,18.749613,7,17,29.2,27.3,422
0004A30B00F9B305,45.53782,18.735236,7,18,28.7,26.8,340
0004A30B00F9B305,45.53782,18.735236,7,18,28.8,27.0,310
0004A30B00F9B305,45.53782,18.735236,7,18,28.6,27.0,283
0004A30B00F9F85C,45.532317,18.749613,7,18,28.8,27.1,281
0004A30B00F9F85C,45.532317,18.749613,7,18,28.7,27.0,253
0004A30B00F9B305,45.53782,18.735236,7,18,28.4,26.8,229
0004A30B00F9F85C,45.532317,18.749613,7,18,28.6,27.6,225
0004A30B00F9B305,45.53782,18.735236,7,18,28.4,26.9,202
0004A30B00F9F85C,45.532317,18.749613,7,18,28.5,27.6,198
0004A30B00F9B305,45.53782,18.735236,7,19,28.3,27.3,177
0004A30B00F9F85C,45.532317,18.749613,7,19,28.3,27.6,174
0004A30B00F9F85C,45.532317,18.749613,7,19,28.1,27.8,151
0004A30B00F9B305,45.53782,18.735236,7,19,27.8,28.4,131
0004A30B00F9F85C,45.532317,18.749613,7,19,27.9,28.0,127
0004A30B00F9B305,45.53782,18.735236,7,19,27.7,28.2,109
0004A30B00F9F85C,45.532317,18.749613,7,19,27.6,28.4,106
0004A30B00F9F85C,45.532317,18.749613,7,19,27.4,28.9,85
0004A30B00F9B305,45.53782,18.735236,7,19,27.0,29.7,70
0004A30B00F9F85C,45.532317,18.749613,7,19,27.0,29.7,66
0004A30B00F9B305,45.53782,18.735236,7,20,25.6,33.5,34
0004A30B00F9F85C,45.532317,18.749613,7,20,25.4,33.7,33
0004A30B00F9B305,45.53782,18.735236,7,20,24.5,36.1,11
0004A30B00F9F85C,45.532317,18.749613,7,20,24.2,36.5,15
0004A30B00F9F85C,45.532317,18.749613,7,20,23.0,39.8,5
0004A30B00F9B305,45.53782,18.735236,7,20,22.5,42.5,2
0004A30B00F9F85C,45.532317,18.749613,7,20,22.1,42.2,2
0004A30B00F9B305,45.53782,18.735236,7,20,21.7,45.2,0
0004A30B00F9F85C,45.532317,18.749613,7,20,21.6,43.8,0
0004A30B00F9F85C,45.532317,18.749613,7,21,21.2,44.8,0
0004A30B00F9B305,45.53782,18.735236,7,21,20.3,49.9,0
0004A30B00F9F85C,45.532317,18.749613,7,21,21.0,45.0,0
0004A30B00F9B305,45.53782,18.735236,7,21,19.9,51.2,0
0004A30B00F9F85C,45.532317,18.749613,7,21,20.3,47.4,0
0004A30B00F9F85C,45.532317,18.749613,7,21,19.9,49.3,0
0004A30B00F9B305,45.53782,18.735236,7,21,18.8,56.6,0
0004A30B00F9F85C,45.532317,18.749613,7,21,18.9,53.8,0
0004A30B00F9B305,45.53782,18.735236,7,21,18.7,56.5,0
0004A30B00F9F85C,45.532317,18.749613,7,21,18.8,54.5,0
0004A30B00F9B305,45.53782,18.735236,7,22,18.3,58.1,0
0004A30B00F9F85C,45.532317,18.749613,7,22,18.7,54.8,0
0004A30B00F9B305,45.53782,18.735236,7,22,18.0,59.5,0
0004A30B00F9F85C,45.532317,18.749613,7,22,18.3,56.4,0
0004A30B00F9B305,45.53782,18.735236,7,22,17.7,60.8,0
0004A30B00F9F85C,45.532317,18.749613,7,22,18.6,56.1,0
0004A30B00F9F85C,45.532317,18.749613,7,22,18.3,56.4,0
0004A30B00F9B305,45.53782,18.735236,7,22,17.3,62.9,0
0004A30B00F9F85C,45.532317,18.749613,7,22,17.8,59.3,0
0004A30B00F9B305,45.53782,18.735236,7,22,17.4,62.5,0
0004A30B00F9F85C,45.532317,18.749613,7,22,17.6,59.9,0
0004A30B00F9B305,45.53782,18.735236,7,22,17.3,62.7,0
0004A30B00F9F85C,45.532317,18.749613,7,22,17.3,61.1,0
0004A30B00F9B305,45.53782,18.735236,7,23,16.8,65.3,0
0004A30B00F9F85C,45.532317,18.749613,7,23,17.5,60.6,0
0004A30B00F9B305,45.53782,18.735236,7,23,16.5,66.3,0
0004A30B00F9F85C,45.532317,18.749613,7,23,18.3,56.4,0
0004A30B00F9F85C,45.532317,18.749613,7,23,17.4,61.3,0
0004A30B00F9B305,45.53782,18.735236,7,23,16.4,66.3,0
0004A30B00F9F85C,45.532317,18.749613,7,23,17.0,62.6,0
0004A30B00F9F85C,45.532317,18.749613,7,23,17.5,60.6,0
0004A30B00F9B305,45.53782,18.735236,7,23,16.3,66.9,0
0004A30B00F9F85C,45.532317,18.749613,7,23,17.0,63.0,0
0004A30B00F9B305,45.53782,18.735236,7,23,16.2,67.1,0
0004A30B00F9F85C,45.532317,18.749613,7,23,16.6,64.4,0
0004A30B00F9F85C,45.532317,18.749613,7,23,16.8,63.9,0
0004A30B00F9B305,45.53782,18.735236,7,0,15.6,70.4,0
0004A30B00F9F85C,45.532317,18.749613,7,0,16.7,64.3,0
0004A30B00F9F85C,45.532317,18.749613,7,0,16.4,65.7,0
0004A30B00F9F85C,45.532317,18.749613,7,0,15.7,68.6,0
0004A30B00F9B305,45.53782,18.735236,7,0,15.1,72.9,0
0004A30B00F9B305,45.53782,18.735236,7,0,15.1,73.1,0
0004A30B00F9F85C,45.532317,18.749613,7,0,14.9,72.0,0
0004A30B00F9B305,45.53782,18.735236,7,1,14.8,74.5,0
