EUI,latitude,longitude,month,daytime_hour,temperature,humidity,solar_irradiation,pressure
0004A30B00226F23,45.556697,18.695069,7,17,30.3,24.6,162,100930
0004A30B00226F23,45.556697,18.695069,7,18,30.1,25.0,148,100930
0004A30B00226F23,45.556697,18.695069,7,18,29.9,25.0,132,100925
0004A30B00226F23,45.556697,18.695069,7,18,29.6,25.0,118,100925
0004A30B00226F23,45.556697,18.695069,7,18,29.5,25.4,104,100920
0004A30B00226F23,45.556697,18.695069,7,18,29.4,25.8,90,100920
0004A30B00226F23,45.556697,18.695069,7,18,29.3,26.0,74,100920
0004A30B00226F23,45.556697,18.695069,7,19,28.7,26.4,14,100920
0004A30B00226F23,45.556697,18.695069,7,19,28.4,27.2,10,100920
0004A30B00226F23,45.556697,18.695069,7,19,27.9,27.6,8,100915
0004A30B00226F23,45.556697,18.695069,7,19,27.7,28.0,6,100915
0004A30B00226F23,45.556697,18.695069,7,19,27.7,28.2,6,100915
0004A30B00226F23,45.556697,18.695069,7,19,27.4,28.8,4,100910
0004A30B00226F23,45.556697,18.695069,7,20,27.0,30.2,4,100915
0004A30B00226F23,45.556697,18.695069,7,20,26.6,31.6,2,100920
0004A30B00226F23,45.556697,18.695069,7,20,26.2,32.6,2,100920
0004A30B00226F23,45.556697,18.695069,7,20,25.8,33.6,0,100920
0004A30B00226F23,45.556697,18.695069,7,20,25.5,34.6,0,100930
0004A30B00226F23,45.556697,18.695069,7,20,25.2,35.6,0,100935
0004A30B00226F23,45.556697,18.695069,7,21,24.7,36.8,0,100945
0004A30B00226F23,45.556697,18.695069,7,21,24.4,37.6,0,100955
0004A30B00226F23,45.556697,18.695069,7,21,24.2,38.2,0,100960
0004A30B00226F23,45.556697,18.695069,7,21,24.1,38.4,0,100970
0004A30B00226F23,45.556697,18.695069,7,21,23.9,39.2,0,100970
0004A30B00226F23,45.556697,18.695069,7,21,23.7,39.8,0,100965
0004A30B00226F23,45.556697,18.695069,7,22,23.8,39.0,0,100965
0004A30B00226F23,45.556697,18.695069,7,22,23.8,39.0,0,100975
0004A30B00226F23,45.556697,18.695069,7,22,23.7,38.8,0,100980
0004A30B00226F23,45.556697,18.695069,7,22,23.7,39.0,0,100985
0004A30B00226F23,45.556697,18.695069,7,22,23.3,40.2,0,100985
0004A30B00226F23,45.556697,18.695069,7,22,23.0,41.0,0,100990
0004A30B00226F23,45.556697,18.695069,7,23,22.8,42.0,0,100990
0004A30B00226F23,45.556697,18.695069,7,23,22.6,42.2,0,100990
0004A30B00226F23,45.556697,18.695069,7,23,22.5,42.8,0,100995
0004A30B00226F23,45.556697,18.695069,7,23,22.3,43.6,0,100995
0004A30B00226F23,45.556697,18.695069,7,23,22.0,44.4,0,100995
0004A30B00226F23,45.556697,18.695069,7,23,21.7,45.4,0,100990
0004A30B00226F23,45.556697,18.695069,7,0,21.6,45.6,0,100990
0004A30B00226F23,45.556697,18.695069,7,0,21.5,45.8,0,100990
0004A30B00226F23,45.556697,18.695069,7,0,21.4,46.2,0,100995
0004A30B00226F23,45.556697,18.695069,7,0,21.1,47.2,0,100995
0004A30B00226F23,45.556697,18.695069,7,0,20.8,48.4,0,100995
0004A30B00226F23,45.556697,18.695069,7,0,20.5,50.0,0,100990
0004A30B00226F23,45.556697,18.695069,7,1,20.1,51.6,0,100985
0004A30B00226F23,45.556697,18.695069,7,1,19.7,53.2,0,100985
0004A30B00226F23,45.556697,18.695069,7,1,19.5,54.2,0,100980
0004A30B00226F23,45.556697,18.695069,7,1,19.4,54.8,0,100970
0004A30B00226F23,45.556697,18.695069,7,1,19.4,54.8,0,100970
0004A30B00226F23,45.556697,18.695069,7,1,19.4,54.8,0,100975
0004A30B00226F23,45.556697,18.695069,7,2,19.3,55.6,0,100980
0004A30B00226F23,45.556697,18.695069,7,2,19.2,56.2,0,100995
0004A30B00226F23,45.556697,18.695069,7,2,19.0,56.8,0,100990
